animation,type,target,property,modifiers
persistence_HW_idle,bone,pot_glint_fly_up9,translate,persistence_1_collect;persistence_1_tease;persistence_1_trigger;persistence_1_upgrade;persistence_1_upgrade_level_4;persistence_2_collect;persistence_2_tease;persistence_2_trigger;persistence_2_upgrade;persistence_2_upgrade_level_4;persistence_3_collect;persistence_3_tease;persistence_3_trigger;persistence_3_upgrade;persistence_4_collect;persistence_4_idle;persistence_4_tease;persistence_4_trigger;persistence_HW_collect
persistence_HW_inactive,bone,pot_glint_fly_up9,translate,persistence_1_collect;persistence_1_tease;persistence_1_trigger;persistence_1_upgrade;persistence_1_upgrade_level_4;persistence_2_collect;persistence_2_tease;persistence_2_trigger;persistence_2_upgrade;persistence_2_upgrade_level_4;persistence_3_collect;persistence_3_tease;persistence_3_trigger;persistence_3_upgrade;persistence_4_collect;persistence_4_idle;persistence_4_tease;persistence_4_trigger;persistence_HW_collect
persistence_1_idle,bone,pot_glint_fly_up9,scale,persistence_1_collect;persistence_1_tease;persistence_1_trigger;persistence_1_upgrade;persistence_1_upgrade_level_4;persistence_2_collect;persistence_2_tease;persistence_2_trigger;persistence_2_upgrade;persistence_2_upgrade_level_4;persistence_3_collect;persistence_3_tease;persistence_3_trigger;persistence_3_upgrade;persistence_4_collect;persistence_4_idle;persistence_4_tease;persistence_4_trigger;persistence_HW_collect
persistence_2_idle,bone,pot_glint_fly_up9,scale,persistence_1_collect;persistence_1_tease;persistence_1_trigger;persistence_1_upgrade;persistence_1_upgrade_level_4;persistence_2_collect;persistence_2_tease;persistence_2_trigger;persistence_2_upgrade;persistence_2_upgrade_level_4;persistence_3_collect;persistence_3_tease;persistence_3_trigger;persistence_3_upgrade;persistence_4_collect;persistence_4_idle;persistence_4_tease;persistence_4_trigger;persistence_HW_collect
persistence_3_idle,bone,pot_glint_fly_up9,scale,persistence_1_collect;persistence_1_tease;persistence_1_trigger;persistence_1_upgrade;persistence_1_upgrade_level_4;persistence_2_collect;persistence_2_tease;persistence_2_trigger;persistence_2_upgrade;persistence_2_upgrade_level_4;persistence_3_collect;persistence_3_tease;persistence_3_trigger;persistence_3_upgrade;persistence_4_collect;persistence_4_idle;persistence_4_tease;persistence_4_trigger;persistence_HW_collect
persistence_HW_activate,bone,pot_glint_fly_up9,scale,persistence_1_collect;persistence_1_tease;persistence_1_trigger;persistence_1_upgrade;persistence_1_upgrade_level_4;persistence_2_collect;persistence_2_tease;persistence_2_trigger;persistence_2_upgrade;persistence_2_upgrade_level_4;persistence_3_collect;persistence_3_tease;persistence_3_trigger;persistence_3_upgrade;persistence_4_collect;persistence_4_idle;persistence_4_tease;persistence_4_trigger;persistence_HW_collect
persistence_HW_idle,bone,pot_glint_fly_up9,scale,persistence_1_collect;persistence_1_tease;persistence_1_trigger;persistence_1_upgrade;persistence_1_upgrade_level_4;persistence_2_collect;persistence_2_tease;persistence_2_trigger;persistence_2_upgrade;persistence_2_upgrade_level_4;persistence_3_collect;persistence_3_tease;persistence_3_trigger;persistence_3_upgrade;persistence_4_collect;persistence_4_idle;persistence_4_tease;persistence_4_trigger;persistence_HW_collect
persistence_HW_inactive,bone,pot_glint_fly_up9,scale,persistence_1_collect;persistence_1_tease;persistence_1_trigger;persistence_1_upgrade;persistence_1_upgrade_level_4;persistence_2_collect;persistence_2_tease;persistence_2_trigger;persistence_2_upgrade;persistence_2_upgrade_level_4;persistence_3_collect;persistence_3_tease;persistence_3_trigger;persistence_3_upgrade;persistence_4_collect;persistence_4_idle;persistence_4_tease;persistence_4_trigger;persistence_HW_collect
persistence_1_idle,bone,pot_glint_fly_up10,translate,persistence_1_collect;persistence_1_tease;persistence_1_trigger;persistence_1_upgrade;persistence_1_upgrade_level_4;persistence_2_collect;persistence_2_idle;persistence_2_tease;persistence_2_trigger;persistence_2_upgrade;persistence_2_upgrade_level_4;persistence_3_collect;persistence_3_idle;persistence_3_tease;persistence_3_trigger;persistence_3_upgrade;persistence_4_collect;persistence_4_idle;persistence_4_tease;persistence_4_trigger;persistence_HW_activate;persistence_HW_collect;persistence_HW_idle;persistence_HW_inactive
persistence_1_idle,bone,pot_glint_fly_up10,scale,persistence_1_collect;persistence_1_tease;persistence_1_trigger;persistence_1_upgrade;persistence_1_upgrade_level_4;persistence_2_collect;persistence_2_idle;persistence_2_tease;persistence_2_trigger;persistence_2_upgrade;persistence_2_upgrade_level_4;persistence_3_collect;persistence_3_idle;persistence_3_tease;persistence_3_trigger;persistence_3_upgrade;persistence_4_collect;persistence_4_idle;persistence_4_tease;persistence_4_trigger;persistence_HW_activate;persistence_HW_collect;persistence_HW_idle;persistence_HW_inactive
persistence_1_idle,bone,pot_glint_fly_up11,translate,persistence_1_collect;persistence_1_tease;persistence_1_trigger;persistence_1_upgrade;persistence_1_upgrade_level_4;persistence_2_collect;persistence_2_tease;persistence_2_trigger;persistence_2_upgrade;persistence_2_upgrade_level_4;persistence_3_collect;persistence_3_tease;persistence_3_trigger;persistence_3_upgrade;persistence_4_collect;persistence_4_idle;persistence_4_tease;persistence_4_trigger;persistence_HW_collect
persistence_2_idle,bone,pot_glint_fly_up11,translate,persistence_1_collect;persistence_1_tease;persistence_1_trigger;persistence_1_upgrade;persistence_1_upgrade_level_4;persistence_2_collect;persistence_2_tease;persistence_2_trigger;persistence_2_upgrade;persistence_2_upgrade_level_4;persistence_3_collect;persistence_3_tease;persistence_3_trigger;persistence_3_upgrade;persistence_4_collect;persistence_4_idle;persistence_4_tease;persistence_4_trigger;persistence_HW_collect
persistence_3_idle,bone,pot_glint_fly_up11,translate,persistence_1_collect;persistence_1_tease;persistence_1_trigger;persistence_1_upgrade;persistence_1_upgrade_level_4;persistence_2_collect;persistence_2_tease;persistence_2_trigger;persistence_2_upgrade;persistence_2_upgrade_level_4;persistence_3_collect;persistence_3_tease;persistence_3_trigger;persistence_3_upgrade;persistence_4_collect;persistence_4_idle;persistence_4_tease;persistence_4_trigger;persistence_HW_collect
persistence_HW_activate,bone,pot_glint_fly_up11,translate,persistence_1_collect;persistence_1_tease;persistence_1_trigger;persistence_1_upgrade;persistence_1_upgrade_level_4;persistence_2_collect;persistence_2_tease;persistence_2_trigger;persistence_2_upgrade;persistence_2_upgrade_level_4;persistence_3_collect;persistence_3_tease;persistence_3_trigger;persistence_3_upgrade;persistence_4_collect;persistence_4_idle;persistence_4_tease;persistence_4_trigger;persistence_HW_collect
persistence_HW_idle,bone,pot_glint_fly_up11,translate,persistence_1_collect;persistence_1_tease;persistence_1_trigger;persistence_1_upgrade;persistence_1_upgrade_level_4;persistence_2_collect;persistence_2_tease;persistence_2_trigger;persistence_2_upgrade;persistence_2_upgrade_level_4;persistence_3_collect;persistence_3_tease;persistence_3_trigger;persistence_3_upgrade;persistence_4_collect;persistence_4_idle;persistence_4_tease;persistence_4_trigger;persistence_HW_collect
persistence_HW_inactive,bone,pot_glint_fly_up11,translate,persistence_1_collect;persistence_1_tease;persistence_1_trigger;persistence_1_upgrade;persistence_1_upgrade_level_4;persistence_2_collect;persistence_2_tease;persistence_2_trigger;persistence_2_upgrade;persistence_2_upgrade_level_4;persistence_3_collect;persistence_3_tease;persistence_3_trigger;persistence_3_upgrade;persistence_4_collect;persistence_4_idle;persistence_4_tease;persistence_4_trigger;persistence_HW_collect
persistence_1_idle,bone,pot_glint_fly_up11,scale,persistence_1_collect;persistence_1_tease;persistence_1_trigger;persistence_1_upgrade;persistence_1_upgrade_level_4;persistence_2_collect;persistence_2_tease;persistence_2_trigger;persistence_2_upgrade;persistence_2_upgrade_level_4;persistence_3_collect;persistence_3_tease;persistence_3_trigger;persistence_3_upgrade;persistence_4_collect;persistence_4_idle;persistence_4_tease;persistence_4_trigger;persistence_HW_collect
persistence_2_idle,bone,pot_glint_fly_up11,scale,persistence_1_collect;persistence_1_tease;persistence_1_trigger;persistence_1_upgrade;persistence_1_upgrade_level_4;persistence_2_collect;persistence_2_tease;persistence_2_trigger;persistence_2_upgrade;persistence_2_upgrade_level_4;persistence_3_collect;persistence_3_tease;persistence_3_trigger;persistence_3_upgrade;persistence_4_collect;persistence_4_idle;persistence_4_tease;persistence_4_trigger;persistence_HW_collect
persistence_3_idle,bone,pot_glint_fly_up11,scale,persistence_1_collect;persistence_1_tease;persistence_1_trigger;persistence_1_upgrade;persistence_1_upgrade_level_4;persistence_2_collect;persistence_2_tease;persistence_2_trigger;persistence_2_upgrade;persistence_2_upgrade_level_4;persistence_3_collect;persistence_3_tease;persistence_3_trigger;persistence_3_upgrade;persistence_4_collect;persistence_4_idle;persistence_4_tease;persistence_4_trigger;persistence_HW_collect
persistence_HW_activate,bone,pot_glint_fly_up11,scale,persistence_1_collect;persistence_1_tease;persistence_1_trigger;persistence_1_upgrade;persistence_1_upgrade_level_4;persistence_2_collect;persistence_2_tease;persistence_2_trigger;persistence_2_upgrade;persistence_2_upgrade_level_4;persistence_3_collect;persistence_3_tease;persistence_3_trigger;persistence_3_upgrade;persistence_4_collect;persistence_4_idle;persistence_4_tease;persistence_4_trigger;persistence_HW_collect
persistence_HW_idle,bone,pot_glint_fly_up11,scale,persistence_1_collect;persistence_1_tease;persistence_1_trigger;persistence_1_upgrade;persistence_1_upgrade_level_4;persistence_2_collect;persistence_2_tease;persistence_2_trigger;persistence_2_upgrade;persistence_2_upgrade_level_4;persistence_3_collect;persistence_3_tease;persistence_3_trigger;persistence_3_upgrade;persistence_4_collect;persistence_4_idle;persistence_4_tease;persistence_4_trigger;persistence_HW_collect
persistence_HW_inactive,bone,pot_glint_fly_up11,scale,persistence_1_collect;persistence_1_tease;persistence_1_trigger;persistence_1_upgrade;persistence_1_upgrade_level_4;persistence_2_collect;persistence_2_tease;persistence_2_trigger;persistence_2_upgrade;persistence_2_upgrade_level_4;persistence_3_collect;persistence_3_tease;persistence_3_trigger;persistence_3_upgrade;persistence_4_collect;persistence_4_idle;persistence_4_tease;persistence_4_trigger;persistence_HW_collect
persistence_1_idle,bone,pot_glint_fly_up12,translate,persistence_1_collect;persistence_1_tease;persistence_1_trigger;persistence_1_upgrade;persistence_1_upgrade_level_4;persistence_2_collect;persistence_2_tease;persistence_2_trigger;persistence_2_upgrade;persistence_2_upgrade_level_4;persistence_3_collect;persistence_3_tease;persistence_3_trigger;persistence_3_upgrade;persistence_4_collect;persistence_4_tease;persistence_4_trigger;persistence_HW_collect
persistence_2_idle,bone,pot_glint_fly_up12,translate,persistence_1_collect;persistence_1_tease;persistence_1_trigger;persistence_1_upgrade;persistence_1_upgrade_level_4;persistence_2_collect;persistence_2_tease;persistence_2_trigger;persistence_2_upgrade;persistence_2_upgrade_level_4;persistence_3_collect;persistence_3_tease;persistence_3_trigger;persistence_3_upgrade;persistence_4_collect;persistence_4_tease;persistence_4_trigger;persistence_HW_collect
persistence_3_idle,bone,pot_glint_fly_up12,translate,persistence_1_collect;persistence_1_tease;persistence_1_trigger;persistence_1_upgrade;persistence_1_upgrade_level_4;persistence_2_collect;persistence_2_tease;persistence_2_trigger;persistence_2_upgrade;persistence_2_upgrade_level_4;persistence_3_collect;persistence_3_tease;persistence_3_trigger;persistence_3_upgrade;persistence_4_collect;persistence_4_tease;persistence_4_trigger;persistence_HW_collect
persistence_4_idle,bone,pot_glint_fly_up12,translate,persistence_1_collect;persistence_1_tease;persistence_1_trigger;persistence_1_upgrade;persistence_1_upgrade_level_4;persistence_2_collect;persistence_2_tease;persistence_2_trigger;persistence_2_upgrade;persistence_2_upgrade_level_4;persistence_3_collect;persistence_3_tease;persistence_3_trigger;persistence_3_upgrade;persistence_4_collect;persistence_4_tease;persistence_4_trigger;persistence_HW_collect
persistence_HW_activate,bone,pot_glint_fly_up12,translate,persistence_1_collect;persistence_1_tease;persistence_1_trigger;persistence_1_upgrade;persistence_1_upgrade_level_4;persistence_2_collect;persistence_2_tease;persistence_2_trigger;persistence_2_upgrade;persistence_2_upgrade_level_4;persistence_3_collect;persistence_3_tease;persistence_3_trigger;persistence_3_upgrade;persistence_4_collect;persistence_4_tease;persistence_4_trigger;persistence_HW_collect
persistence_HW_idle,bone,pot_glint_fly_up12,translate,persistence_1_collect;persistence_1_tease;persistence_1_trigger;persistence_1_upgrade;persistence_1_upgrade_level_4;persistence_2_collect;persistence_2_tease;persistence_2_trigger;persistence_2_upgrade;persistence_2_upgrade_level_4;persistence_3_collect;persistence_3_tease;persistence_3_trigger;persistence_3_upgrade;persistence_4_collect;persistence_4_tease;persistence_4_trigger;persistence_HW_collect
persistence_HW_inactive,bone,pot_glint_fly_up12,translate,persistence_1_collect;persistence_1_tease;persistence_1_trigger;persistence_1_upgrade;persistence_1_upgrade_level_4;persistence_2_collect;persistence_2_tease;persistence_2_trigger;persistence_2_upgrade;persistence_2_upgrade_level_4;persistence_3_collect;persistence_3_tease;persistence_3_trigger;persistence_3_upgrade;persistence_4_collect;persistence_4_tease;persistence_4_trigger;persistence_HW_collect
persistence_1_idle,bone,pot_glint_fly_up12,scale,persistence_1_collect;persistence_1_tease;persistence_1_trigger;persistence_1_upgrade;persistence_1_upgrade_level_4;persistence_2_collect;persistence_2_tease;persistence_2_trigger;persistence_2_upgrade;persistence_2_upgrade_level_4;persistence_3_collect;persistence_3_tease;persistence_3_trigger;persistence_3_upgrade;persistence_4_collect;persistence_4_tease;persistence_4_trigger;persistence_HW_collect
persistence_2_idle,bone,pot_glint_fly_up12,scale,persistence_1_collect;persistence_1_tease;persistence_1_trigger;persistence_1_upgrade;persistence_1_upgrade_level_4;persistence_2_collect;persistence_2_tease;persistence_2_trigger;persistence_2_upgrade;persistence_2_upgrade_level_4;persistence_3_collect;persistence_3_tease;persistence_3_trigger;persistence_3_upgrade;persistence_4_collect;persistence_4_tease;persistence_4_trigger;persistence_HW_collect
persistence_3_idle,bone,pot_glint_fly_up12,scale,persistence_1_collect;persistence_1_tease;persistence_1_trigger;persistence_1_upgrade;persistence_1_upgrade_level_4;persistence_2_collect;persistence_2_tease;persistence_2_trigger;persistence_2_upgrade;persistence_2_upgrade_level_4;persistence_3_collect;persistence_3_tease;persistence_3_trigger;persistence_3_upgrade;persistence_4_collect;persistence_4_tease;persistence_4_trigger;persistence_HW_collect
